Cleaned_Ancestry,Initial_Ancestry_Sum,Initial_Ancestry_Count,Initial_Ancestry_Sum_%,Initial_Ancestry_Count_%,Replication_Ancestry_Sum,Replication_Ancestry_Count,Replication_Ancestry_Sum_%,Replication_Ancestry_Count_%
Jewish Isreali,331.0,2.0,0.0001303741936297042,0.014664906877841324,74.0,2.0,9.746881007956049e-05,0.030003000300030006
North African,329.0,7.0,0.0001295864341515791,0.051327174072444644,1566.0,10.0,0.002062650764656645,0.15001500150015
Plains American Indian,322.0,1.0,0.00012682927597814126,0.007332453438920662,,,,
Fijian Indian,319.0,2.0,0.0001256476367609536,0.014664906877841324,,,,
Hong Kong Chinese,315.0,1.0,0.0001240721178047034,0.007332453438920662,,,,
Norfolk Island,285.0,2.0,0.00011225572563282689,0.014664906877841324,,,,
Greater Middle Eastern,281.0,2.0,0.00011068020667657667,0.014664906877841324,,,,
South African Coloured,275.0,2.0,0.00010831692824220139,0.014664906877841324,,,,
Asian American,261.0,8.0,0.00010280261189532566,0.058659627511365296,1094.0,4.0,0.001440957813878908,0.06000600060006001
South African Afrikaner,251.0,2.0,9.886381450470016e-05,0.014664906877841324,,,,
Tiwi Islander,249.0,1.0,9.807605502657507e-05,0.007332453438920662,497.0,1.0,0.0006546216028316428,0.015001500150015003
Hispanic/Native American,237.0,1.0,9.334949815782446e-05,0.007332453438920662,,,,
Tatar,231.0,2.0,9.098621972344916e-05,0.014664906877841324,,,,
Southern Indian,229.0,2.0,9.019846024532406e-05,0.014664906877841324,4600.0,2.0,0.006058871977918626,0.030003000300030006
Malawian,226.0,2.0,8.90168210281364e-05,0.014664906877841324,,,,
Tunisian,221.0,2.0,8.704742233282366e-05,0.014664906877841324,,,,
Portuguese,221.0,2.0,8.704742233282366e-05,0.014664906877841324,525.0,2.0,0.000691501693132017,0.030003000300030006
European Tis/T,209.0,1.0,8.232086546407305e-05,0.007332453438920662,414.0,1.0,0.0005452984780126764,0.015001500150015003
Asian or Pacific Islander,207.0,3.0,8.153310598594794e-05,0.02199736031676199,,,,
Arab Isreali,189.0,1.0,7.444327068282204e-05,0.007332453438920662,198.0,2.0,0.00026079492426693215,0.030003000300030006
Hispanic and European,180.0,2.0,7.089835303125908e-05,0.014664906877841324,1682.0,2.0,0.002215439710186767,0.030003000300030006
Hispanic/Native,164.0,1.0,6.459627720625828e-05,0.007332453438920662,,,,
Bashkir,161.0,2.0,6.341463798907063e-05,0.014664906877841324,,,,
Han Chinese American,156.0,2.0,6.144523929375787e-05,0.014664906877841324,,,,
African American Asian or Latino,155.0,1.0,6.105135955469533e-05,0.007332453438920662,,,,
Hispanic Caucasian,136.0,2.0,5.3567644512506865e-05,0.014664906877841324,,,,
Nepalese,99.0,2.0,3.8994094167192496e-05,0.014664906877841324,1478.0,6.0,0.0019467419094268974,0.09000900090009001
Maya,92.0,2.0,3.623693599375465e-05,0.014664906877841324,,,,
Oriental,90.0,1.0,3.544917651562954e-05,0.007332453438920662,,,,
Solomon Islander,85.0,2.0,3.347977782031679e-05,0.014664906877841324,,,,
Uygur Chinese,83.0,1.0,3.269201834219169e-05,0.007332453438920662,,,,
Dai Chinese,58.0,1.0,2.2845024865627927e-05,0.007332453438920662,,,,
African American or African,55.0,1.0,2.1663385648440275e-05,0.007332453438920662,,,,
European and Mexican,41.0,2.0,1.614906930156457e-05,0.014664906877841324,,,,
Jingpo Chinese,40.0,1.0,1.5755189562502018e-05,0.007332453438920662,,,,
Pacific Islander,33.0,3.0,1.2998031389064164e-05,0.02199736031676199,,,,
Romanian,32.0,1.0,1.2604151650001615e-05,0.007332453438920662,,,,
Alaskan,28.0,14.0,1.1028632693751413e-05,0.10265434814488929,,,,
European/Asian,27.0,2.0,1.0634752954688864e-05,0.014664906877841324,74.0,2.0,9.746881007956049e-05,0.030003000300030006
Caucasian Eastern Mediterranean,26.0,2.0,1.0240873215626313e-05,0.014664906877841324,,,,
Native Hawaiian or Pacific,14.0,2.0,5.514316346875706e-06,0.014664906877841324,7.0,1.0,9.22002257509356e-06,0.015001500150015003
Hui Chinese,11.0,1.0,4.3326771296880554e-06,0.007332453438920662,,,,
American Indian/Alaskan Native,7.0,1.0,2.757158173437853e-06,0.007332453438920662,,,,
Cape Verdian,4.0,2.0,1.5755189562502018e-06,0.014664906877841324,,,,
Native American or Alaska Native,4.0,2.0,1.5755189562502018e-06,0.014664906877841324,4.0,1.0,5.268584328624892e-06,0.015001500150015003
Arabic/North African,3.0,1.0,1.1816392171876514e-06,0.007332453438920662,,,,
Isreali,2.0,2.0,7.877594781251009e-07,0.014664906877841324,,,,
Dominican Republic,2.0,2.0,7.877594781251009e-07,0.014664906877841324,,,,
Curacao,2.0,2.0,7.877594781251009e-07,0.014664906877841324,,,,
Chilean,2.0,2.0,7.877594781251009e-07,0.014664906877841324,,,,
Afghanistan,2.0,2.0,7.877594781251009e-07,0.014664906877841324,,,,
Central/South Asian,1.0,1.0,3.9387973906255046e-07,0.007332453438920662,,,,
European and Middle East/North African,,,,,29807.0,2.0,0.039260173270830534,0.030003000300030006
African America/Afro Caribbean,,,,,27661.0,1.0,0.03643357777852328,0.015001500150015003
Black and European,,,,,19090.0,1.0,0.025144318708362298,0.015001500150015003
African American and Afro Caribbean,,,,,11583.0,3.0,0.01525650306961553,0.045004500450045004
Mexican/Latino,,,,,8214.0,2.0,0.010819037918831216,0.030003000300030006
Singaporean,,,,,3968.0,2.0,0.005226435653995893,0.030003000300030006
Caribbean,,,,,3799.0,1.0,0.005003837966111491,0.015001500150015003
Dravidian,,,,,3260.0,4.0,0.004293896227829287,0.06000600060006001
Seychellois,,,,,3258.0,14.0,0.0042912619356649745,0.21002100210021002
She Chinese,,,,,3235.0,1.0,0.0042609675757753806,0.015001500150015003
